Symbol,Name,Sector,Industry,Market Cap,Enterprise Value,PE Ratio (Forward),EV to EBITDA (Forward),PS Ratio (Forward),Price to Book Value,PE Ratio (5y Median),EV to EBITDA (5y Median),PS Ratio (5y Median),Price to Book Value (5y Median),Return on Equity (5y Median),Return on Assets (5y Median)
ABY,Abengoa Yield,Utilities,Utilities - Regulated Electric,1753.8028,7372.9538,51.4706,16.5357,2.4329,0.8210,None,None,None,None,None,None
ACAD,ACADIA Pharmaceuticals,Healthcare,Biotechnology,3740.7930,3500.1020,None,-21.7398,74815.8602,16.4542,None,None,179.0070,7.4696,-0.312476,-0.276977
ACAT,Arctic Cat,Consumer Cyclical,Recreational Vehicles,277.8390,282.9200,213.9000,11.5856,0.4124,1.4594,18.5438,6.7945,0.7154,2.5827,0.163186,0.096268
ACCO,ACCO Brands,Industrials,Business Equipment,813.8192,1568.9192,9.9351,6.6241,0.5429,1.4507,9.5421,7.4406,0.4196,None,0.12393,0.042309
ACET,Aceto,Healthcare,Drug Manufacturers - Specialty & Generic,812.4851,889.3711,21.1846,12.1748,1.4037,3.0640,18.5124,9.5309,0.6749,1.7856,0.109137,0.059452
ACHN,Achillion Pharmaceuticals,Healthcare,Biotechnology,1346.3327,884.1317,None,-8.3173,20.3937,3.1329,None,None,None,5.5790,-0.520258,-0.474413
ACIW,ACI Worldwide,Technology,Software - Application,2742.4239,3445.9729,28.1091,13.2658,2.6373,4.5791,34.6812,14.1268,2.6040,3.9863,0.127416,0.043494
ACLS,Axcelis Technologies,Technology,Semiconductor Equipment & Materials,286.9658,207.0948,21.2511,9.0041,0.9782,1.5255,None,None,0.9722,1.1865,-0.058972,-0.045118
ACOR,Acorda Therapeutics,Healthcare,Biotechnology,1622.2115,1594.5085,None,72.4777,3.3584,2.8218,60.5525,29.5451,3.7480,3.4844,0.082835,0.038879
ACRE,Ares Commercial Real,Real Estate,REIT - Diversified,367.0612,128.8522,11.0223,None,4.2849,0.9006,None,None,None,None,None,None
ACTA,Actua,Technology,Software - Application,461.8322,397.2382,None,-226.9933,3.4528,1.1579,None,None,4.7277,1.6060,0.102059,0.074549
ACTG,Acacia Research,Industrials,Business Services,266.8735,118.5875,36.2759,4.7953,2.1069,0.6207,None,None,6.0764,1.8963,0.008505,0.007622
ACW,Accuride,Consumer Cyclical,Auto Parts,117.0068,399.9038,12.3544,4.5311,0.1591,2.1013,None,None,None,3.0914,None,None
ACXM,Acxiom,Technology,Information Technology Services,1709.3321,1737.3361,81.2963,12.7464,2.0594,2.4281,None,8.3633,1.3992,2.1616,0.012448,0.006648
ADC,Agree Realty,Real Estate,REIT - Retail,625.3949,935.7990,13.8536,17.1653,8.8800,1.5745,21.1054,17.8382,8.4771,1.5334,0.071651,0.042815
ADMS,Adamas Pharmaceuticals,Healthcare,Drug Manufacturers - Specialty & Generic,292.7272,189.2792,None,-3.5659,202.5794,2.3609,None,None,None,None,None,None
ADPT,Adeptus Health,Healthcare,Medical Care,1217.2301,1382.5291,44.0677,17.8322,3.4450,13.5504,None,None,None,None,None,None
ADRO,Aduro Biotech,Healthcare,Biotechnology,2007.1523,1541.2853,None,None,None,8.3392,None,None,None,None,None,None
ADTN,Adtran,Technology,Communication Equipment,808.8225,711.8545,48.3556,27.3790,1.3504,1.6934,24.5549,12.9415,2.2896,2.1937,0.078395,0.059052
ADUS,Addus HomeCare,Healthcare,Medical Care,241.4944,226.6174,19.7636,9.3029,0.7165,1.7535,None,9.4327,0.6698,1.5928,0.076533,0.052636
ADXS,Advaxis,Healthcare,Biotechnology,409.7320,312.5897,None,None,95.8437,4.2009,None,None,None,None,None,-2.357757
AE,Adams Resources & Energy,Energy,Oil & Gas Refining & Marketing,185.5744,90.3394,None,None,None,1.1466,9.8734,3.0601,0.0557,1.2924,0.150506,0.048434
AEGN,Aegion,Industrials,Engineering & Construction,772.0185,978.1385,16.6928,8.1636,0.5710,1.2501,None,9.5082,0.7585,1.1632,0.063735,0.03455
AEGR,Aegerion Pharmaceuticals,Healthcare,Biotechnology,294.8731,477.0991,None,-14.4575,1.2179,2.0328,None,None,None,6.3263,None,None
AEIS,Advanced Energy Indus,Technology,Electronic Components,1179.5471,980.5431,None,16.9059,2.3197,4.2835,22.0373,9.3908,1.4226,1.6883,0.083621,0.05898
AEL,American Equity,Financial Services,Insurance - Life,2162.6689,2285.4519,10.7368,None,1.2741,1.0059,11.6786,None,0.6539,0.8035,0.073165,0.00302
AEO,American Eagle Outfitters,Consumer Cyclical,Apparel Stores,3130.7790,2803.4890,15.2050,5.8775,0.8870,2.6858,22.5642,6.9437,0.9506,2.4066,0.113493,0.082004
AEPI,AEP Industries,Consumer Cyclical,Rubber & Plastics,446.1291,648.0951,None,None,None,5.6640,None,7.9357,0.2207,3.6792,0.164766,0.025834
AERI,Aerie Pharmaceuticals,Healthcare,Drug Manufacturers - Major,675.9960,520.7580,None,-8.3993,None,20.8146,None,None,None,None,None,None
AF,Astoria Financial,Financial Services,Savings & Cooperative Banks,1588.3921,3897.7521,23.6992,27.7875,4.0177,1.0468,17.3878,None,2.6470,0.8950,0.058865,0.004295
AFAM,Almost Family,Healthcare,Medical Care,414.8295,500.0215,19.9509,12.3798,0.7714,1.5950,12.0004,5.7108,0.5838,1.0661,0.080027,0.059632
AFFX,Affymetrix,Healthcare,Diagnostics & Research,728.5021,715.8591,22.1278,11.9671,2.0350,2.1910,None,None,1.3407,1.4052,-0.033802,-0.019308
AFH,Atlas Financial Holdings,Financial Services,Insurance - Property & Casualty,237.6160,243.2740,17.6964,None,1.5087,1.9970,None,None,None,None,0.098613,0.023437
AFMD,Affimed,Healthcare,Biotechnology,148.9419,85.9200,None,None,16.5124,2.4658,None,None,None,None,None,None
AFOP,Alliance Fiber Optic,Technology,Electronic Components,255.2074,206.7234,14.3922,8.1291,3.0630,2.9447,17.3486,9.1609,2.8353,2.5310,0.151708,0.127975
AGEN,Agenus,Healthcare,Biotechnology,374.9827,286.5498,None,-28.6550,16.2527,4.8714,None,None,26.6071,None,0.630888,-0.593244
AGII,Argo Group International,Financial Services,Insurance - Property & Casualty,1816.0888,1748.9888,17.8332,None,1.2371,1.1064,None,None,0.8526,0.7510,0.049413,0.011758
AGM,Federal Agricultural,Financial Services,Credit Services,324.7113,12510.5233,7.6735,None,1.8759,0.9676,7.9840,None,2.6552,0.9797,0.176404,0.004085
AGRX,Agile Therapeutics,Healthcare,Drug Manufacturers - Specialty & Generic,177.1115,137.7072,None,-4.3128,None,5.4087,None,None,None,None,None,None
AGTC,Applied Genetic Tech,Healthcare,Biotechnology,291.1214,125.1674,None,None,7.4647,2.9896,None,None,None,None,None,None
AGX,Argan,Industrials,Engineering & Construction,574.8754,273.0304,14.6642,None,None,2.7346,14.7911,2.2928,1.2713,2.1428,0.195901,0.090076
AGYS,Agilysys,Technology,Software - Application,248.6804,186.5794,None,None,None,1.9896,None,None,2.0313,1.7540,-0.071335,-0.051706
AHH,Armada Hoffler Properties,Real Estate,REIT - Diversified,301.5358,882.0468,12.5289,17.9488,3.7502,29.8787,None,None,None,None,None,None
AHP,Ashford Hospitality Prime,Real Estate,REIT - Hotel & Motel,402.5799,1072.6329,8.7462,11.4564,1.1622,1.1467,None,None,None,None,None,None
AHS,AMN Healthcare Services,Healthcare,Medical Care,1374.0641,1573.9061,18.2342,9.8267,0.9494,4.2414,None,None,0.6056,2.9490,0.133391,0.046134
AHT,Ashford Hospitality Trust,Real Estate,REIT - Hotel & Motel,624.4013,4137.7553,4.6492,10.1260,0.4882,0.7240,None,11.5746,0.8327,0.8530,-0.040442,-0.009568
AI,Arlington Asset Investmnt,Financial Services,Specialty Finance,309.6957,592.7087,2.2720,None,2.2778,0.6479,None,None,7.0452,0.8788,0.099507,0.022687
AIMC,Altra Industrial Motion,Industrials,Diversified Industrials,712.2277,902.4807,16.5268,8.6161,0.9497,2.8711,20.7075,8.8364,0.9438,2.8738,0.155323,0.056507
AIMT,Aimmune Therapeutics,Healthcare,Biotechnology,822.5958,605.9888,None,None,None,3.7581,None,None,None,None,None,None
AIN,Albany International,Consumer Cyclical,Textile Manufacturing,1188.1600,1290.6700,23.3522,9.6121,1.6585,2.5069,29.7061,9.6505,1.2927,1.9327,0.066131,0.027575
AINC,Ashford,Financial Services,Asset Management,130.6565,91.1595,None,None,None,5.0077,None,None,None,None,None,None
AIQ,Alliance HealthCare,Healthcare,Diagnostics & Research,94.6053,692.2073,None,None,None,None,None,None,0.4170,None,0.066923,-0.036465
AIR,AAR,Industrials,Aerospace & Defense,829.1037,979.9037,17.2527,6.9744,0.5112,0.9674,15.9285,7.8506,0.5170,1.0501,0.073152,0.032317
AIRM,Air Methods,Industrials,Airports & Air Services,1715.9559,2296.2089,15.1203,7.9361,1.5874,3.0499,19.9629,8.1303,1.7141,3.8762,0.216036,0.072272
AIT,Applied Industrial,Industrials,Industrial Distribution,1632.4928,1923.8418,15.7635,9.0704,0.6370,2.2989,15.9225,8.9325,0.7168,2.4238,0.159787,0.110218
AJRD,Aerojet Rocketdyne,Industrials,Aerospace & Defense,1043.2500,1461.1500,95.5882,6.0869,0.6208,None,None,13.4066,0.6391,None,-0.016273,0.003209
AJX,Great Ajax,Real Estate,REIT - Diversified,197.4836,507.4426,None,None,None,0.8845,None,None,None,None,None,None
AKBA,Akebia Therapeutics,Healthcare,Biotechnology,288.5506,131.0846,None,11.2038,None,1.9844,None,None,None,None,None,None
AKR,Acadia Realty Trust,Real Estate,REIT - Retail,2316.3649,3987.1699,21.8632,42.7349,17.5482,2.1287,27.9964,23.8590,8.8825,2.2525,0.084255,0.023464
AKS,AK Steel Holding,Basic Materials,Steel,409.0562,3098.7562,None,9.2496,0.0606,None,None,None,0.1246,None,0.230618,-0.036773
ALCO,Alico,Consumer Defensive,Farm Products,341.6078,546.6348,None,None,None,1.9128,18.8215,13.1814,2.4808,1.9322,0.101745,0.057567
ALDR,Alder BioPharmaceuticals,Healthcare,Biotechnology,1612.3172,1306.1342,None,None,1612.3172,3.9166,None,None,None,None,None,None
ALE,ALLETE,Utilities,Utilities - Regulated Electric,2512.4249,4009.2249,15.0029,9.8289,1.8436,1.3792,17.4967,9.6876,1.7898,1.4293,0.085194,0.03184
ALEX,Alexander & Baldwin,Real Estate,Real Estate - General,1801.0511,2394.9511,44.3976,15.2934,2.8639,1.4499,None,None,None,None,None,None
ALG,Alamo Group,Industrials,Farm & Construction Equipment,624.9037,757.6937,14.0617,None,0.7096,1.7648,14.5770,7.4770,0.6603,1.4945,0.108822,0.070371
ALGT,Allegiant Travel,Industrials,Airlines,3368.9871,3679.2091,15.7842,7.8146,2.6632,10.0844,21.0582,7.3721,1.8490,4.2272,0.217905,0.102516
ALIM,Alimera Sciences,Healthcare,Drug Manufacturers - Major,140.7641,204.6671,None,1.7953,5.8897,None,None,None,None,None,None,None
ALJ,Alon USA Energy,Energy,Oil & Gas Refining & Marketing,1248.1952,1606.0202,12.1873,4.2901,0.2909,1.7728,None,5.3470,0.1258,1.6833,0.087205,0.015245
ALOG,Analogic,Healthcare,Diagnostics & Research,1007.0677,883.2677,18.7306,None,1.5136,1.8951,30.5907,13.3872,1.7447,1.8741,0.067234,0.055874
ALRM,Alarm.com Holdings,Technology,Software - Application,839.0210,719.1200,None,None,None,5.0603,None,None,None,None,None,None
ALX,Alexander's,Real Estate,REIT - Retail,1994.3285,2760.7515,None,None,None,5.7786,28.3880,None,12.3597,5.7011,0.212557,0.045303
AMAG,AMAG Pharmaceuticals,Healthcare,Biotechnology,926.5941,1488.8821,16.6179,6.9574,2.2407,1.0072,None,None,5.4849,2.1052,-0.075221,-0.048065
AMBA,Ambarella,Technology,Semiconductor Equipment & Materials,1736.6552,1496.9012,22.5720,13.3640,5.3091,5.8637,None,None,None,None,None,None
AMBC,Ambac Financial Group,Financial Services,Insurance - Specialty,694.6663,14490.8313,None,None,None,0.5127,None,None,None,None,None,None
AMBR,Amber Road,Technology,Software - Application,120.5123,118.6242,None,-9.7902,1.7524,2.3957,None,None,None,None,None,None
AMC,AMC Entertainment Hldgs,Consumer Cyclical,Media - Diversified,2446.7508,4113.6108,23.4219,7.6267,0.8230,1.6162,None,None,None,None,None,None
AMCC,Applied Micro Circuits,Technology,Semiconductors,591.4476,515.9476,None,-84.3052,3.6961,4.9723,None,None,2.6789,3.6115,-0.348997,-0.246787
AMD,Advanced Micro Devices,Technology,Semiconductors,1754.2205,3259.2205,None,12.3236,0.4398,None,None,None,0.5424,4.8986,-0.42224,-0.107924
AMED,Amedisys,Healthcare,Medical Care,1406.9445,1350.7365,29.2028,12.3022,1.1134,3.5788,None,None,0.3837,1.1331,-0.165647,-0.103537
AMKR,Amkor Technology,Technology,Semiconductors,1504.8833,2531.7793,19.2121,3.7957,0.5182,1.2684,13.4184,3.4346,0.4741,1.3023,0.125709,0.03313
AMNB,American National,Financial Services,Banks - Regional - US,219.8929,191.5249,15.1548,None,3.5758,1.1193,12.9658,None,3.1435,1.0581,0.087146,0.011023
AMOT,Allied Motion,Technology,Electronic Components,197.9494,250.7644,None,None,None,3.0964,13.1420,7.0405,0.6227,1.8009,0.162741,0.08916
AMPH,Amphastar Pharmaceuticals,Healthcare,Drug Manufacturers - Specialty & Generic,643.3287,618.7637,None,157.0466,2.6943,2.2670,None,None,None,None,None,None
AMRC,Ameresco,Industrials,Engineering & Construction,311.6699,386.0449,47.8571,8.8138,0.4915,1.0851,22.6899,12.9756,0.6998,1.6127,0.054928,0.023109
AMRI,Albany Molecular Research,Healthcare,Biotechnology,703.6457,983.6857,110.1111,12.6114,1.7080,2.4370,None,None,1.3592,1.5031,-0.029962,-0.015652
AMSF,AMERISAFE,Financial Services,Insurance - Property & Casualty,1029.3468,922.3908,15.3809,None,2.5944,2.0982,16.8790,None,1.8584,1.5847,0.092369,0.027253
AMSG,Amsurg,Healthcare,Medical Care,4072.6680,6769.6300,23.9554,13.8742,1.6075,2.5216,17.3951,6.2091,1.1794,1.5949,0.090655,0.03694
AMSWA,American Software,Technology,Software - Application,294.3462,228.7542,29.3714,10.4107,2.5252,3.1547,25.2952,11.2986,2.4298,2.8127,0.116264,0.085645
AMTG,Apollo Residential,Real Estate,REIT - Residential,405.0266,324.4866,6.0283,None,3.1629,0.5668,None,None,None,None,None,None
AMWD,American Woodmark,Consumer Cyclical,Home Furnishings & Fixtures,1099.1358,931.1638,24.3201,10.3820,1.2066,4.4095,None,None,0.7207,2.8400,0.030475,0.01528
ANAC,Anacor Pharmaceuticals,Healthcare,Biotechnology,4759.6559,4671.7859,None,None,53.2281,85.3413,None,None,20.2858,None,-0.943247,-0.539998
ANCX,Access National,Financial Services,Banks - Regional - US,228.1743,253.0073,15.0278,None,3.4907,2.1200,9.8312,None,1.8500,1.5789,0.146599,0.014867
ANDE,Andersons,Consumer Defensive,Food Distribution,941.9200,1444.5390,18.4077,7.8850,0.2190,1.2079,12.7907,7.3733,0.2204,1.6050,0.150733,0.04809
ANF,Abercrombie & Fitch,Consumer Cyclical,Apparel Stores,1731.4532,1616.4152,32.3746,5.0536,0.4961,1.3479,31.9114,6.6464,0.7727,1.8844,0.061402,0.038369
ANGI,Angie's List,Technology,Internet Content & Information,613.2550,614.0860,52.0616,20.8532,1.7747,None,None,None,None,None,None,None
ANGO,AngioDynamics,Healthcare,Medical Instruments & Supplies,409.9663,524.4163,18.0800,9.4597,1.1270,0.7493,None,18.6104,1.5179,0.9077,0.000494,0.000664
ANH,Anworth Mortgage Asset,Real Estate,REIT - Diversified,477.5018,568.5168,8.4425,None,4.4710,0.7481,8.5691,None,7.3141,0.8404,0.093145,0.010004
ANIK,Anika Therapeutics,Healthcare,Biotechnology,604.3906,473.9142,21.8848,None,6.6474,3.0257,18.7466,7.7888,3.2493,2.1014,0.130665,0.100521
ANIP,ANI Pharmaceuticals,Healthcare,Biotechnology,493.0093,457.2893,20.8107,10.2302,6.4098,3.1625,None,None,None,1.7429,-0.300541,-0.141211
ANTH,Anthera Pharmaceuticals,Healthcare,Biotechnology,208.9471,153.1851,None,None,186.0615,4.6115,None,None,None,None,None,None
AOSL,Alpha & Omega,Technology,Semiconductors,210.2349,137.3669,None,6.5413,0.6574,0.8764,None,4.0607,0.6669,0.8025,0.003766,0.002833
APEI,American Public Education,Consumer Defensive,Education & Training Services,369.5703,255.7413,12.2480,3.6571,1.1266,1.5556,15.4045,6.6020,2.1114,3.7051,0.276873,0.19563
APIC,Apigee,Technology,Software - Application,198.9819,113.2859,None,None,2.2223,2.4903,None,None,None,None,None,None
APOG,Apogee Enterprises,Basic Materials,Building Materials,1472.5105,1401.6735,23.3272,10.9591,1.4652,3.6662,None,13.9482,1.0775,2.3036,0.062292,0.040098
APOL,Apollo Education Group,Consumer Defensive,Education & Training Services,828.2104,175.9754,13.0043,0.7403,0.3846,0.7236,14.1152,3.8879,0.9908,2.6685,0.294594,0.12195
APPF,AppFolio,Technology,Software - Application,533.4448,493.5358,None,None,None,6.9890,None,None,None,None,None,None
APPS,Digital Turbine,Technology,Software - Application,101.0906,107.2346,None,-64.7943,0.9754,1.2877,None,None,4.5124,6.6641,-0.787378,-0.723534
APTS,Preferred Apartment,Real Estate,REIT - Residential,241.3550,867.5106,9.3558,None,2.2502,0.5468,None,None,None,None,None,None
ARAY,Accuray,Healthcare,Medical Devices,558.2913,609.9673,None,50.8306,1.3812,8.7056,None,None,1.4095,3.4712,-0.42729,-0.118326
ARC,ARC Document Solutions,Industrials,Business Services,223.6829,390.3109,13.7971,5.4165,0.5200,1.1259,None,None,0.6916,1.9308,-0.145881,-0.049858
ARCB,ArcBest,Industrials,Trucking,640.4825,570.8725,12.3970,3.1223,0.2394,1.0915,None,6.0733,0.3065,1.2841,0.008192,0.004415
ARDX,Ardelyx,Healthcare,Biotechnology,473.1943,344.1473,None,None,19.7058,3.7816,None,None,None,None,None,None
AREX,Approach Resources,Energy,Oil & Gas E&P,91.8683,607.1423,None,4.9500,0.5785,0.1501,70.6591,14.1917,6.4649,1.5154,0.025051,0.017551
ARI,Apollo Commercial Real,Real Estate,REIT - Diversified,1162.2851,1389.9781,9.4720,None,8.0505,0.8396,10.8133,None,7.4563,0.9231,0.092464,0.052227
ARIA,ARIAD Pharmaceuticals,Healthcare,Biotechnology,1228.5148,1360.5778,None,-6.2699,8.9081,None,None,None,28.7644,13.5005,-1.234915,-0.705922
ARII,American Railcar Indus,Industrials,Railroads,1090.8522,1569.9832,8.8128,5.9357,1.2486,2.1184,None,6.7989,1.2645,1.9240,0.206045,0.092897
ARNA,Arena Pharmaceuticals,Healthcare,Biotechnology,504.5032,323.2232,None,-3.0493,13.0141,6.1374,None,None,20.6940,11.0335,-1.070657,-0.337526
AROC,Archrock,Energy,Oil & Gas Equipment & Services,727.7941,2855.4921,15.1884,4.3278,0.2648,0.4006,None,6.3704,0.3460,0.6109,0.013823,0.005148
AROW,Arrow Financial,Financial Services,Banks - Regional - US,362.5773,367.8863,13.9086,None,3.8507,1.7172,13.8959,None,3.6501,1.6967,0.125041,0.010912
ARPI,American Residential Prop,Real Estate,REIT - Residential,532.4528,1304.0198,23.8873,24.8859,4.2936,1.0196,None,None,None,None,None,None
ARR,ARMOUR Residential REIT,Real Estate,REIT - Residential,833.0147,556.5337,5.6463,None,2.6958,0.5869,None,3.0118,3.7201,0.8269,0.016534,0.001531
ARRY,Array BioPharma,Healthcare,Biotechnology,546.2277,495.7387,None,-4.9574,6.5526,22.6641,None,None,7.8172,None,0.658031,-0.414474
ARTNA,Artesian Resource,Utilities,Utilities - Regulated Water,227.0607,344.0977,19.6265,9.8907,2.9342,1.7576,20.9970,12.5915,2.6883,1.5735,0.07576,0.021952
ARWR,Arrowhead Research,Healthcare,Biotechnology,330.8250,219.7364,None,-2.7744,641.1337,2.5196,None,None,None,3.4983,-0.680575,-0.543945
ASC,Ardmore Shipping,Industrials,Shipping & Ports,326.1052,644.3453,8.8456,8.5546,2.2258,0.9352,None,None,None,None,None,None
ASCMA,Ascent Capital Group,Industrials,Security & Protection Services,248.5481,1860.6621,None,5.4286,0.4405,0.7086,None,7.6843,None,1.4000,-0.059217,-0.017038
ASEI,American Science,Technology,Scientific & Technical Instruments,316.0823,229.0953,40.8333,16.2479,2.4694,2.2272,29.2072,10.7032,2.7354,2.3581,0.076812,0.058367
ASGN,On Assignment,Industrials,Staffing & Outsourcing Services,2490.5241,3246.4051,18.2730,13.7322,1.2130,3.2831,None,14.4218,0.9774,2.4604,0.11674,0.062147
ASMB,Assembly Biosciences,Healthcare,Drug Manufacturers - Major,154.1700,88.3721,None,None,31.4633,1.2294,None,None,None,8.6786,None,None
ASNA,Ascena Retail Group,Consumer Cyclical,Apparel Stores,2179.2603,2041.2603,14.5689,2.9955,0.2988,1.4355,18.5426,6.2349,0.7040,1.8860,0.104966,0.055748
ASPS,Altisource Portfolio,Industrials,Business Services,493.6556,902.5066,5.1160,2.9417,0.5549,5.1351,17.9125,11.7004,3.0152,10.6306,0.615506,0.282129
AST,Asterias Biotherapeutics,Healthcare,Biotechnology,185.9540,161.7480,None,None,None,4.4098,None,None,None,None,None,None
ASTE,Astec Industries,Industrials,Farm & Construction Equipment,897.6541,893.0501,24.0841,10.9684,0.8866,1.4706,21.6845,9.8192,0.8971,1.4637,0.069711,0.052908
AT,Atlantic Power,Utilities,Utilities - Independent Power Producers,250.3683,1442.2683,None,7.8087,0.5148,0.7751,None,15.8592,1.2080,0.9128,-0.077229,-0.020433
ATEN,A10 Networks,Technology,Communication Equipment,494.0192,393.4952,None,-29.3106,2.5190,6.1037,None,None,None,None,None,None
ATLO,Ames National,Financial Services,Banks - Regional - US,241.9903,238.9477,13.1929,None,5.0185,1.5086,14.1691,None,4.9488,1.4142,0.103996,0.012457
ATNI,Atlantic Tele-Network,Communication Services,Telecom Services,1279.5149,999.8949,47.1361,6.7868,3.6075,1.8830,16.5196,5.6205,1.9818,1.7855,0.124966,0.052426
ATRA,Atara Biotherapeutics,Healthcare,Biotechnology,1001.5159,667.2509,None,None,None,3.0008,None,None,None,None,None,None
ATRC,AtriCure,Healthcare,Medical Instruments & Supplies,675.9001,641.0451,None,-31.5786,5.2052,5.3863,None,None,2.8869,7.6390,-0.251547,-0.159873
ATRI,Atrion,Healthcare,Medical Instruments & Supplies,713.8482,690.3292,27.8414,None,5.3689,5.1278,18.7931,9.9394,3.9544,3.4463,0.18539,0.159916
ATRO,Astronics,Industrials,Aerospace & Defense,977.7929,1163.8939,13.9504,8.4591,1.3986,3.4431,19.5609,12.6059,1.7315,4.4498,0.229712,0.114668
ATRS,Antares Pharma,Healthcare,Medical Instruments & Supplies,193.5356,145.6457,None,None,4.2132,2.6650,None,None,15.2789,7.5472,-0.333915,-0.265573
ATSG,Air Transport Services Gr,Industrials,Airports & Air Services,576.6575,871.1435,15.1864,4.4010,0.9593,1.5530,None,4.6638,0.7215,1.3587,0.088509,0.030208
ATU,Actuant,Industrials,Diversified Industrials,1461.8473,1881.2793,18.9214,10.1021,1.2503,2.1721,21.4300,10.3832,1.5123,2.0656,0.072589,0.035807
ATW,Atwood Oceanics,Energy,Oil & Gas Drilling,996.3197,2568.2827,3.8573,4.7074,0.9004,0.3381,9.8997,8.0881,3.6233,1.5413,0.158124,0.103718
AVA,Avista,Utilities,Utilities - Diversified,2152.7034,3809.2964,17.6726,9.3871,1.2477,1.4270,15.4839,8.5342,1.0265,1.2747,0.085649,0.025301
AVAV,AeroVironment,Industrials,Aerospace & Defense,569.1779,351.7099,905.6180,60.5353,2.1399,1.6493,None,13.5693,2.1978,1.9396,0.068802,0.059509
AVD,American Vanguard,Basic Materials,Agricultural Inputs,421.3649,508.6679,76.0526,15.4142,1.4699,1.5874,24.5618,12.0276,1.3949,1.9750,0.112493,0.063038
AVG,AVG Technologies,Technology,Software - Application,1055.6917,1134.9357,12.8471,6.6761,2.4718,13.0634,None,None,None,None,None,None
AVHI,A V Homes,Consumer Cyclical,Residential Construction,312.5940,647.0610,None,None,1.9983,1.0966,None,None,1.7087,1.0853,-0.096134,-0.073134
AVID,Avid Technology,Technology,Electronic Gaming & Multimedia,259.9363,342.5613,7.5632,5.7419,0.5177,None,None,None,0.5879,None,-0.034131,0.085719
AVX,AVX,Technology,Electronic Components,2224.8424,1355.4864,17.9189,6.4029,1.8704,1.0272,None,None,1.5398,1.0690,0.074386,0.063564
AWR,American States Water,Utilities,Utilities - Regulated Water,1507.3253,1820.9333,25.4591,11.3519,3.2891,3.2069,18.8135,8.6166,2.2160,2.2122,0.123096,0.044537
AXAS,Abraxas Petroleum,Energy,Oil & Gas E&P,140.3767,267.6677,None,6.0497,1.7414,0.9293,None,10.7750,3.3393,4.0933,0.222287,0.047436
AXDX,Accelerate Diagnostics,Healthcare,Diagnostics & Research,779.3534,740.3224,None,None,None,19.3932,None,None,3366.4879,10.6224,-0.487589,-0.464908
AXE,Anixter International,Industrials,Industrial Distribution,2214.6151,2885.1151,15.6694,7.9846,0.3546,1.8517,13.9442,9.8413,0.3970,2.2429,0.162114,0.054767
